web_route,web_feature,mobile_path,parity_status,notes
/,Public landing + get-app + guest chat panel,mobile/linas-ai/src/features/chat/ChatScreen.tsx (guest) + store listings,PARITY,Marketing web kept. Guest chat uses /api/guest-ai/*; mobile ChatScreen is primary in-app guest/owner chat.
/about,About page,n/a (marketing),WEB_ONLY,Landing/legal marketing surface — keep on web; not an operator feature.
/contact,Contact page,LEGAL_URLS.contact → /contact,PARITY,Mobile Settings/legal links open public contact URL; keep web Contact page.
/pricing,Pricing page,mobile/linas-ai/src/features/billing/BillingScreen.tsx + planCatalog,PARTIAL,Web Pricing is marketing copy; mobile BillingScreen is live plan/entitlement UX (StoreKit/Play not bound yet per storePricing.ts).
/features,Features page,n/a (marketing),WEB_ONLY,Marketing-only; keep on web.
/register,Create-account redirect to /#get-app,mobile/linas-ai/src/features/auth/RegisterScreen.tsx,PARITY,Web already redirects to get-app; registration is mobile-primary.
/login,Operator/thin auth login,mobile/linas-ai/src/features/auth/LoginScreen.tsx,PARITY,Keep thin web login for ops/APK/email flows; mobile LoginScreen is day-to-day auth.
/forgot-password,Forgot password,LEGAL_URLS.forgotPassword → /forgot-password,PARITY,Mobile opens web forgot-password URL; keep thin auth on web.
/reset-password,Reset password,web thin auth (linked from email),PARITY,Email deep-link lands on web; keep.
/verify-email,Verify email,RegisterScreen verify messaging + email link to web,PARITY,Keep thin auth on web.
/privacy-policy,Privacy Policy (public legal),mobile LEGAL_URLS.privacy + Settings legal rows,PARITY,Public compliance URL; keep. Not part of operator shell trim.
/terms,Terms of Service (public legal),mobile LEGAL_URLS.terms + Settings legal rows,PARITY,Public compliance URL; keep.
/data-deletion,Data deletion instructions (public legal),mobile LEGAL_URLS.dataDeletion + Settings legal rows,PARITY,Public compliance URL; keep.
/app,Operator dashboard home (link hub),mobile/linas-ai/src/features/dashboard/DashboardScreen.tsx,PARTIAL,Mobile tenant dashboard (usage/credits/channels/readiness) is primary and richer; web /app is a thin link hub only → safe to defer web shell to get-app.
/training,Legacy FAQ/training redirect → CM FAQ,mobile/linas-ai/src/features/faq/FaqRoute.tsx,PARITY,Web Training.jsx already Navigate→/content-managers/faq; mobile has dedicated FAQ module.
/content-managers,AI Setup hub + setup chat panel,mobile/linas-ai/src/features/cm/CmScreen.tsx + ChatScreen setup handoff,PARITY,Mobile CM hub + continue-setup→chat is primary operator path.
/content-managers/ai-basics,CM AI Basics editor,mobile/.../cm/editors/AiBasicsEditor.tsx via CmSectionScreen,PARITY,Evidence: cmSections.ts mobileSupported + CmSectionScreen switch case.
/content-managers/languages,CM Languages editor,mobile/.../cm/editors/LanguagesEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/style,CM Style & Tone editor,mobile/.../cm/editors/StyleEditor.tsx,PARITY,Same CM draft API path on mobile.
/content-managers/dynamic-messages,CM Dynamic Messages editor,mobile/.../cm/editors/DynamicMessagesEditor.tsx,PARITY,Same CM draft API path on mobile.
